description,industry,level,size,line_code,value
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Health care & social assistance,1,total,B2503,861
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Arts & recreation services,1,total,B2503,114
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),Other services,1,total,B2503,186
In last 2 years did business do any of the following activities to get better ICT: Introduced new work practices (teamworking),total,0,total,B2503,11661
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,total,0,6–19 employees,B2504,2019
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,total,0,20–49 employees,B2504,870
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,total,0,50–99 employees,B2504,306
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,total,0,100+ employees,B2504,378
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,"Agriculture, forestry, & fishing",1,total,B2504,225
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,Agriculture,2,total,B2504,171
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,Commercial fishing,2,total,B2504,3
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,Forestry & logging,2,total,B2504,6
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,"Agriculture, forestry, & fishing support services",2,total,B2504,45
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,Mining,1,total,B2504,9
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,Manufacturing,1,total,B2504,414
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,"Food, beverage, & tobacco",2,total,B2504,105
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,"Textile, clothing, footwear, & leather",2,total,B2504,21
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,Wood & paper product,2,total,B2504,24
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,"Printing, publishing, & recorded media",2,total,B2504,21
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,"Petroleum, coal, chemical, & associated product",2,total,B2504,30
In last 2 years did business do any of the following activities to get better ICT: Restructured the organisation,Non-metallic mineral product,2,total,B2504,15
